!atom_types	cvff
! Atom type definitions for any variant of cvff
! Masses from CRC 1973/74 pages B-250.

!Ver  Ref  Type    Mass      Element  Connections   Comment
 3.6  32    oc3   15.99940     O           2        Oxygen atom in aluminate ring in Ca3Al2O6 (-0.75)
 3.6  32    oc4   15.99940     O           1        Oxygen atom in apical position in Ca3Al2O6 (-1.35)
 3.6  32    oc5   15.99940     O           2        Oxygen atom in ettringite, Al(OH)6 unit (-0.9) and in superficial hydroxide ions (-1.05)
 3.6  32    oc23  15.99940     O           2        Oxygen atom in bulk silica (-0.55)
 3.6  32    oc24  15.99940     O           2        Oxygen atom on silica surface and clay edges (-0.675 in Si-OH, -0.9 in SiO-)
 3.6  32    hoc    1.00797     H           1        Hydrogen atom in OH group of ettringite (+0.35) and in superficial hydroxide ions (+0.3)
 3.6  32    pap   30.97380     P           4        Phosphorus atom in (hydrogen)phosphate ion in hydroxyapatite (+1.0)
 3.6  32    oap1  15.99940     O           1        Oxygen atom in (hydrogen)phosphate ion in hydroxyapatite (-0.8 to -0.6)
 3.6  32    oap2  15.99940     O           1        Oxygen atom in hydroxide ion in hydroxyapatite (-1.1)
 3.6  32    hop    1.00800     H           1        Hydrogen atom in hydrogenphosphate and in hydroxide ion in apatite (+0.4 and +0.2)
 3.5  31    ht5    1.00797     H           1        Hydrogen atom in TIP5P water model
 3.5  31    ot5   14.99940     O           2        Oxygen atom in TIP5P water model
 3.5  31    et5    0.50000     Lp          1        Electron pair in TIP5P water/ether model (shown as He)
 3.6  32    ha1    1.007970    H           1        Hydrogen atom in terminal OH group in PEO (+0.4)
 3.6  32    oa1   15.999400    O           2        Oxygen atom in terminal OH group in PEO (-0.6)
 3.6  32    ce1   12.011150    C           4        Carbon atom in backbone or terminal group in PEO
 3.6  32    he1    1.007970    H           1        Hydrogen atom in backbone or terminal group in PEO
 3.6  32    oe1   15.999400    O           2        Oxygen atom in PEO backbone
 3.6  32    oet5  14.999400    O           2        Oxygen atom in PEO backbone with lone pairs et5 attached (et5=-0.12)
 3.6  32    oat5  14.999400    O           2        Oxygen atom in terminal OH group in PEO with lone pairs et5 attached (et5=-0.18)
